iter	RMSE
0	13.28643768
1	12.93769578
2	12.62589526
3	12.34324687
4	12.09110171
5	11.87084123
6	11.66902748
7	11.48876084
8	11.32443347
9	11.18629133
10	11.04717807
11	10.92863256
12	10.81855569
13	10.72260841
14	10.63100223
15	10.54748136
16	10.47545267
17	10.40390395
18	10.34064909
19	10.28416297
20	10.2302062
21	10.18028363
22	10.13507891
23	10.09140715
24	10.04648214
25	10.00861116
26	9.977815166
27	9.947356165
28	9.91489289
29	9.887385232
30	9.863241867
31	9.833028516
32	9.809944193
33	9.781517017
34	9.75386312
35	9.735235721
36	9.717520014
37	9.697024488
38	9.679304118
39	9.658888678
40	9.644914308
41	9.629705666
42	9.613740814
43	9.593492463
44	9.576850946
45	9.560490377
46	9.549280088
47	9.535819567
48	9.524564317
49	9.514745904
50	9.50340388
51	9.483926509
52	9.469845145
53	9.456344297
54	9.444477323
55	9.43637627
56	9.426985389
57	9.41837673
58	9.407553432
59	9.391899542
60	9.381988011
61	9.372436186
62	9.360470985
63	9.349373995
64	9.334376508
65	9.319469783
66	9.308290234
67	9.300089174
68	9.290165216
69	9.279717384
70	9.267507438
71	9.258437149
72	9.250937979
73	9.241444358
74	9.235464671
75	9.227884796
76	9.218237962
77	9.21177848
78	9.204867022
79	9.20006243
80	9.192013943
81	9.181490355
82	9.175088871
83	9.169564944
84	9.160560372
85	9.15201336
86	9.143788952
87	9.134209972
88	9.126548882
89	9.119937341
90	9.111739631
91	9.104932601
92	9.097993755
93	9.089152143
94	9.079840306
95	9.074027765
96	9.069454287
97	9.063388751
98	9.058396139
99	9.052078699
100	9.042773235
101	9.03501775
102	9.029674916
103	9.024938141
104	9.022043955
105	9.0168568
106	9.009396602
107	9.000309643
108	8.990598661
109	8.983530215
110	8.977850131
111	8.973894534
112	8.964714139
113	8.960269767
114	8.952416839
115	8.947307938
116	8.941001513
117	8.932440621
118	8.928856827
119	8.923943106
120	8.921896893
121	8.916206481
122	8.909894032
123	8.904339708
124	8.901204814
125	8.896064295
126	8.890477778
127	8.883494047
128	8.877741404
129	8.87418816
130	8.866333672
